Episode Number,Final Score,constant,goal state dist,enemy state dist,entity state dist,ldisc dist,rdsic dist
0,275,-47.74899615244239,-21.33902661063882,-5.185224389377066,-8.24162206608996,-31.191389496291826,-28.407585379811866,-25.926630963866124
1,625,-47.32589436223496,-16.75196705680461,-15.117242787151959,-4.713951772726412,-26.36834909943219,-27.17887373610779,-19.22400670706745
2,550,-62.67102993402802,-20.548569036092054,-24.037667469490223,-1.204315466253286,-32.90995887229462,-33.55219882457342,-21.26933672702991
3,250,-89.36891518764114,-30.8263652686317,-32.830545186801444,-6.330475692835581,-43.886838092054035,-46.033578518762745,-36.60797458326318
4,525,-100.3512962807635,-32.28815720365271,-41.210399327770546,-2.750039004794314,-47.47148323533768,-49.76329032611384,-35.34421844245103
5,175,-122.77388087714633,-40.32290429407912,-49.1935002207905,-7.306121548397061,-56.60430518295485,-58.9059984279134,-46.94421127829406
6,275,-138.15302188519271,-42.23825835085134,-55.90819560999736,-10.168098612293852,-58.098000391376395,-67.19301978910958,-54.143516476423336
7,525,-153.36554981524222,-44.83839536793309,-66.3627571040492,-6.190993251754553,-64.38355278166107,-70.5654518031904,-52.61880000924522
8,200,-170.715811079552,-51.33891642912999,-73.31370727615912,-10.6372571774156,-74.23747219439811,-77.04692273625683,-66.03623588607005
9,550,-186.48323822620947,-56.95172389750975,-83.341625300323,-6.904027260381847,-81.35039915235109,-89.50650219290206,-67.70109167441233
10,150,-214.11863505875658,-78.18805503610122,-90.11156774897395,-6.904027260381847,-101.93891723191938,-109.23570425197677,-88.48779582771861
11,250,-218.8313046596023,-75.12014142025244,-96.2292998085383,-9.365624820323085,-97.36957827276717,-111.22097851473785,-88.27292871164029
12,225,-228.31696168879023,-74.94447015645527,-101.40930723333818,-13.596021104606585,-100.50985172940142,-113.32775542406787,-89.49168660849105
13,275,-240.26993727725286,-73.46926911968356,-108.80003243803418,-15.9116662576346,-99.60308758019282,-119.03715815717624,-89.64122958190241
14,175,-240.24361833209218,-68.66808450193636,-113.6375657598891,-19.13259460492264,-96.29623503848148,-115.04294844526856,-87.73737769139255
15,225,-240.71961368662122,-64.19501589233093,-117.35982947714318,-17.59624978044775,-90.00014905008277,-117.36405831413009,-80.53940130760836
16,225,-264.6263841421753,-72.88717397926357,-122.6300622861791,-21.660783839870717,-104.35633192918375,-125.34882098063875,-95.11616170867975
17,250,-254.11868050339956,-63.5149997835541,-124.32575756532569,-24.609380310181336,-96.99042661773959,-114.20541639499258,-85.22879733236451
18,275,-264.8701421654269,-64.34200998093613,-129.2685796571837,-26.39779880135442,-98.76707421408577,-120.67621072321246,-86.5842289298458
19,275,-295.3413386401206,-72.30611820093894,-140.64824414071208,-30.154110324321906,-107.95100042596138,-139.05807123198338,-100.50920845076047
20,200,-291.84719163975655,-63.36363840430552,-139.28110877180836,-32.63593047454762,-102.78394682406142,-125.67187908300716,-96.02756112627897
21,525,-273.08180942178797,-50.757980343359705,-142.56390634658038,-29.00804640184228,-87.26480083211248,-119.12084766038811,-77.63094520345004
22,225,-266.5829923238616,-43.12322623062129,-145.17526241872528,-29.00804640184228,-83.1335334493809,-106.05251475191925,-73.2671806491749
23,550,-242.33968962158946,-26.041848726086137,-145.5593258142718,-24.83574413117641,-67.19824768200111,-86.76766285124924,-53.87713001856038
24,375,-228.60754018736196,-13.67675197606592,-140.09321208184872,-24.83574413117641,-54.87188867345894,-73.01391105251759,-51.08599470949498
25,250,-250.99385595494704,-21.03764493277177,-142.0463037639244,-24.83574413117641,-64.30449302547923,-83.2847232251939,-61.72125591586088
