Episode Number,Final Score,constant,goal state dist,enemy state dist,entity state dist,ldisc dist,rdsic dist
0,300,-54.20193371692462,-36.79873684766924,-11.594755536859424,-2.989100274238307,-42.11294569899999,-41.472532480503126,-31.336591047786367
1,500,-69.5530641289445,-40.75146888135579,-14.861631860714082,1.1839275777274803,-48.056564400687634,-47.4118872336667,-31.23868432877989
2,275,-98.84365409499644,-50.74918394652558,-24.20458150398956,2.591401992875517,-63.766986254863845,-57.88020157827186,-48.74585297332968
3,225,-143.7744382007003,-68.2223168094803,-36.77676632328655,-1.980427834022385,-85.47179828760656,-79.37738098235863,-72.51015218663733
4,550,-144.63472636268233,-63.183922512503145,-44.29515242773288,2.2487555239169286,-80.60772587668004,-78.83486736619065,-63.56875556358125
5,300,-169.19982741092872,-68.69379608673047,-49.422062490323476,-1.190310675150659,-87.32936965331194,-75.19584949353276,-71.76787838435553
6,325,-166.70366484778063,-61.98618827413962,-53.0219597722701,-3.6849292183238163,-80.32447147380503,-73.13663348226947,-65.12099995580174
7,225,-193.00454985806167,-70.4244682949815,-62.13901889807639,-6.011998857603513,-89.3910691156195,-87.2060982320014,-74.8506600167627
8,575,-199.05864676921337,-66.03028444611549,-71.15289380333259,-1.1837621023707636,-89.48274331040712,-87.31439936557165,-65.68199388853137
9,225,-204.8522819856162,-64.81399659334689,-77.24238123278892,-4.224704760870487,-88.63616961071112,-87.27917157712518,-65.60173782232415
10,575,-196.4220857302875,-55.51343344382352,-81.19256343685231,-0.31770807221251784,-85.30195668074387,-76.1913098741997,-52.987237229276346
11,275,-202.58255969993724,-53.1678064301324,-85.25185929381914,-3.6439308718945145,-85.3232557782287,-76.9528813777898,-52.29619443093584
12,525,-202.83366700850883,-49.31466210241999,-89.10819631909818,-3.0947493836152096,-85.35072374222493,-74.01289923173304,-39.09369123305447
13,600,-209.02655181724487,-47.77152659221284,-96.67939987352895,0.8727707717329931,-87.89874521599172,-76.99209496295981,-27.03329952491368
14,550,-195.28858266284897,-35.26603557258581,-87.59772359049187,1.8427509113292058,-82.8107981299868,-62.61470615331884,-4.473661411105481
15,325,-216.33325360239982,-38.97322691887423,-95.982873613973,-0.26004895947947326,-93.88707256487156,-69.62457475957763,-14.618631642378215
16,425,-225.11723416184725,-29.059068008580198,-98.8288080755511,1.6528829471523383,-85.70125552077202,-48.717659520876076,-4.54275834627649
17,425,-244.84928045217887,-33.739223566639886,-106.03748980988465,-0.6158850656536252,-85.97825954974735,-50.811462906995146,-15.55258661051409
18,225,-271.75735794656504,-42.559859188046545,-109.72702376006173,-0.6158850656536252,-92.36431081090046,-65.1831378060941,-28.338960076886362
19,300,-300.4199766147009,-46.77881505168347,-112.19585547675536,-0.6158850656536252,-100.34315485467478,-79.04617226853759,-40.15819290899339
20,350,-322.7107833864662,-49.082223480844284,-118.58806965128288,-2.754402118250392,-113.23910965622146,-85.07243595906448,-47.7439888498628
21,275,-337.8060223182508,-49.84495022654302,-124.22054486821519,-5.32224231968641,-118.68519228727718,-88.66868712173824,-51.523336558261185
22,175,-361.08716840216664,-66.81684364527752,-134.13696673553565,-5.32224231968641,-130.6849534126585,-107.47407225247578,-70.18378152991137
23,600,-348.91589251477654,-52.244531018327756,-129.90626781840268,-3.6164924364200908,-121.53335410313339,-90.52730916835954,-46.78065535012166
24,575,-373.2684430249539,-56.328589257656255,-126.08892102143875,-2.0853902912754205,-132.31343046968044,-103.90123184963443,-48.63971104886561
25,500,-359.06596815426906,-43.57994440959263,-119.89884832514382,-1.3568234922068791,-124.87315784186373,-90.33324159631002,-29.552629294258793
26,175,-365.08875016251386,-40.83367603343948,-120.09455191837995,-1.3568234922068791,-121.43683765375742,-90.26408795113618,-33.10584747012041
27,150,-372.82122332525887,-39.11225127590515,-119.48548216773885,-1.3568234922068791,-114.40305301072699,-92.97792985018347,-38.328591947647205
28,575,-346.3318243290363,-22.230353882549593,-120.0434591922127,3.2340211870074005,-104.79578437000544,-71.27388027132248,-13.3897812309759
29,350,-381.7117415296842,-31.786473306976685,-122.46202129140613,-9.677300786743128,-98.09655655787687,-72.17259909717797,-27.3560356912953
30,175,-378.44840138528804,-26.351706568240274,-120.98137753117041,-9.677300786743128,-91.74277860563346,-67.18037030774948,-29.95515272314845
31,200,-391.62983351669305,-30.53082671046963,-121.32997986107513,-15.974073676307817,-88.23851163192512,-77.46121982998646,-38.73831498394068
32,550,-372.77526823723485,-17.206280485907186,-123.23452415093053,-15.503510747535845,-81.36996986578619,-63.54276082278817,-15.434482647875045
33,275,-394.9489032040053,-19.91760089498643,-120.16558769033006,-15.503510747535845,-83.56105949863117,-73.22689284107364,-27.79857761751112
34,575,-384.2473821241144,-15.15940819485605,-124.28843092262578,-15.05111433061129,-87.58712841639156,-67.45800258156342,-12.398309281888807
35,350,-420.20787950648025,-25.24598593997095,-126.62444392014777,-27.773032837034968,-81.45372930528235,-68.94284413992635,-26.965363578870345
36,600,-433.2157184597996,-29.553231338256424,-137.69659735072193,-23.927041996008352,-87.5915585440562,-78.98790582468129,-29.470721211103314
37,750,-412.9848819917785,-6.257961463388847,-130.82289597828,-19.792374320948657,-68.54510664701834,-44.64119537140377,4.363094491747814
38,350,-452.0680644782222,-18.29244598772271,-133.27692311894018,-33.19295542835465,-63.16830223254085,-48.01562946966005,-12.766349585265125
39,225,-440.86590512902256,-9.720876977768254,-127.38323090351354,-36.7844759886288,-50.627498826259455,-40.095218279452915,-10.11441512596506
40,250,-429.23793623139625,-1.669728457301748,-121.1160262694757,-40.35787927757682,-38.571959900932185,-32.09756094972758,-8.324473804472415
41,275,-439.6243080555133,-3.0456951383639295,-119.95153427800687,-43.591682367261065,-34.96852600468418,-41.50034842904204,-12.403110395667522
42,275,-427.57759666814763,2.9704118916704463,-116.93807990651027,-43.591682367261065,-31.263475763324717,-27.500785914369665,-12.927473917332973
43,225,-428.7630214653064,2.4384991960083697,-116.6382243004347,-43.591682367261065,-25.471875190291087,-32.72980440332972,-17.76612517416448
44,250,-434.71644945358804,0.6805603387214587,-115.36784076030936,-43.591682367261065,-32.93001584373551,-28.84839927190072,-23.77789771440049
45,250,-475.6845050750729,-13.082766902511755,-115.91970165365669,-43.591682367261065,-53.97987474881916,-45.305436467327844,-42.61359060175248
46,575,-489.68996093823785,-20.446113657545578,-125.1205778601044,-42.8739605428875,-73.2810261575847,-55.837717785240535,-40.741752367248935
47,225,-512.8289456164464,-29.895131140707665,-129.20071319048427,-42.8739605428875,-83.39011260729328,-69.9469784486395,-51.20354798617714
48,475,-490.6857477001903,-16.16816415459049,-125.92653403731263,-42.11650205346632,-66.78771895236483,-57.209960341557775,-23.47725858590965
49,675,-479.11790218767436,-0.8888992116706333,-118.21884719728035,-41.40945516567416,-50.54020729900095,-29.879809749062225,3.2014111619020253
