Episode Number,Final Score,constant,goal state dist,enemy state dist,entity state dist,ldisc dist,rdsic dist
0,175,-62.38916815526348,-33.66552668549161,-4.949128627380527,-3.683762661091171,-37.92413497835795,-39.522390412597844,-28.563019085667875
1,475,-79.58378855146215,-39.46419848597718,-6.900709333144713,0.35422235486770637,-45.95215472834114,-45.82163535158858,-30.198304880479025
2,575,-111.63128603218394,-50.76913772080581,-19.370889812408333,4.130808094754858,-57.842322184793574,-54.24407105391593,-38.90171145129991
3,250,-133.3547678786214,-55.770397991162554,-24.46909594221341,0.24447858992074684,-66.8696673818422,-64.66064978557175,-44.84469685858153
4,525,-138.09702642819266,-53.350280200296474,-24.812931378246397,4.267857154386995,-68.80847414109961,-63.13184139027224,-38.12673145579103
5,225,-176.20130375888846,-65.95458557094182,-36.800694222524136,5.714520534401108,-88.5650838485614,-77.01665073680566,-57.9043116606701
6,275,-197.52351293676384,-70.71270957745739,-42.18105895833024,3.0306931412715143,-94.99430666504195,-88.32714463449078,-64.43295229549261
7,250,-209.78690605532432,-70.67773933915096,-46.91981789191352,-0.034566580549182824,-101.1531210028514,-87.82459234731917,-67.2376403108757
8,600,-201.10332202834894,-60.359877190851485,-50.765682973662436,4.352511987437755,-93.66011359526178,-80.08116631851316,-52.819672474820464
9,325,-209.91058334068362,-58.09809686578602,-54.549959918646785,2.1637787327980966,-89.52618113831251,-83.23721799672825,-55.25744622855106
10,250,-219.81774828437634,-58.05857942862506,-61.286237165889204,-1.2946966944157456,-90.51878859557569,-86.03840931875054,-56.960934197224866
11,300,-238.883024813783,-58.291817560419446,-68.79494641338037,-4.226876562824613,-97.45460893308542,-90.78104639870324,-64.62263959732721
12,275,-247.3388057549465,-56.038420235335664,-75.48883768233962,-7.23346669228571,-97.5514592120763,-91.99331017367852,-65.15198832894743
13,600,-251.8418994215562,-52.71591783684721,-81.57687899121524,-3.1845607284314124,-94.04661842135211,-93.62356962873923,-57.58178256172597
14,550,-244.4458903300714,-43.77347335042931,-87.38956407318871,1.403538281360177,-87.00888736287504,-86.90346992429762,-43.841360515939215
15,300,-250.1700182472848,-41.062850749049105,-91.54170503728258,-1.5538313987800274,-86.97688491699098,-86.0176376625095,-43.989057592141656
16,250,-256.33281736364245,-39.63466395619253,-96.89865289317889,-4.4625223288300635,-86.84345642376007,-86.23392252483448,-44.27465718015063
17,225,-264.9792223298442,-41.107083425973684,-102.5889844516447,-1.7837310664540649,-89.938163869117,-88.5525358987982,-42.89189404112413
18,300,-268.0770742172925,-37.744631160585044,-107.00865855165507,-4.969988381982237,-89.9730068240758,-86.90048567778751,-39.06779898358767
19,550,-293.1500092486433,-36.38422212838516,-116.91959683389776,-4.969988381982237,-96.49290054705001,-95.24064659135446,-38.29258721081846
20,250,-290.51349010759276,-32.65006409378115,-118.26903980903593,-2.371633826846743,-93.11889636930192,-92.36392093930046,-29.947445383906167
21,275,-290.45927934074837,-31.550883967677798,-122.77148949857177,0.3032827794725068,-91.70752102654757,-95.27033587126861,-21.388946674158273
22,250,-297.1347138868473,-30.8023072008669,-127.04950839558872,2.768641589082317,-94.26232134743273,-97.89655993667316,-16.54183122733332
23,250,-291.70596282282156,-24.069805107656684,-129.97329394295588,5.265994824440417,-87.88066443011913,-96.1605257740503,-3.4532888885798494
24,225,-306.76683356547017,-29.82242551336878,-134.5703993340286,2.458349463627586,-92.33565303776787,-108.52037061938084,-14.768744659975876
25,500,-298.7855137961186,-16.728360600004258,-133.4369885391444,0.18757351899732022,-75.28613920625453,-100.34751265760336,-7.125289253191516
26,425,-340.53054648688374,-18.54233538779951,-134.3367638521729,-3.087173398203489,-72.98095939145149,-93.65818435209675,-25.633899805116556
27,225,-376.4316772554266,-43.888379045380226,-140.65465720607665,-3.087173398203489,-99.78668193396105,-117.53672067057664,-50.37275938125103
28,275,-390.30001956906614,-46.894179352846216,-154.9148931141832,-4.896504764183639,-106.24198549202515,-122.90946581690339,-57.44184328210234
29,175,-378.9495458817237,-39.555924250774574,-154.0417534749709,-1.1429831463722993,-100.0893468487301,-117.3331804533376,-38.21723453201892
30,250,-397.4575419007786,-50.46421040703012,-164.45303128831134,-8.561517500930314,-113.09184939275136,-136.24927473830022,-46.40128010385348
31,300,-393.43779138393194,-45.89030040197666,-167.60612764803795,-9.962485228368239,-108.6139782935379,-138.31850377106107,-45.83414249866508
32,275,-387.19910610372324,-36.19106781542899,-166.02344195559817,-9.962485228368239,-97.30884428009377,-132.74864813338715,-40.19776881670605
33,250,-380.26113884781125,-27.961902290489732,-162.22111061131423,-9.962485228368239,-92.03546977841154,-119.67079024944923,-35.70640622641556
34,325,-374.800383601297,-16.790945895168285,-160.5396625432414,-9.962485228368239,-82.42484304611179,-103.05614917793314,-32.05208915842684
35,250,-372.4051886584227,-11.107090217812804,-157.46092438442375,-9.962485228368239,-80.55810801501697,-90.60154022058146,-34.659884849828245
36,275,-366.8342327298388,-4.137808239860204,-153.7314791940742,-12.607385649177518,-77.60209312753985,-79.17874759482584,-30.004821645618577
37,675,-329.50052801843384,14.752143344908374,-150.33285085608762,-8.49528118499294,-60.880424868081484,-67.12189255540655,-7.235172798735672
