Episode Number,Final Score,constant,goal state dist,enemy state dist,entity state dist,ldisc dist,rdsic dist
0,150,-41.81151119244851,-33.71000353328269,-15.481437412765954,-4.247572532229233,-27.981095340051503,-37.20063366891337,-25.063028795720616
1,275,-70.89060897513698,-57.32640641036642,-21.943267141452342,-9.400697089826686,-51.527305951629465,-60.03916532920981,-45.317227853112215
2,225,-110.57808321597368,-89.49289375863421,-32.98142163944906,-9.400697089826686,-73.20817285456161,-96.30921776337641,-74.76845981899623
3,250,-127.30641437432614,-105.66174844243304,-41.90320309127631,-9.400697089826686,-82.35233724228733,-109.50832088850376,-90.55612507810287
4,175,-169.15629078298102,-134.6508787317328,-49.90858932462316,-15.513101814829344,-112.96523122430303,-140.43974815690146,-114.6791689756952
5,250,-180.65965572452822,-134.18157115885404,-53.81207301007069,-15.513101814829344,-114.4801855376817,-149.18331611790617,-117.0061080657756
6,275,-188.67741266980246,-138.62645538907887,-56.29199960483321,-15.513101814829344,-122.11484085689203,-143.10418507100016,-122.07916259828974
7,275,-202.9296029375696,-141.35123574417284,-63.20641788801966,-17.258463761161472,-130.90242447667663,-144.64557611845495,-130.7985342482454
8,275,-223.2571961171855,-143.94417498224826,-66.73811308108172,-14.063572964333254,-133.87185836361334,-161.10500571074317,-137.39094256114987
9,650,-209.06174210554303,-126.73356382616542,-79.04307919121955,-6.773656099032357,-120.86822318113362,-145.9655845876026,-116.66271738223284
10,350,-229.254128336654,-127.25036247149866,-97.66135902691438,-10.260597165805752,-135.6353406118263,-145.32283385215902,-120.72614949450644
11,275,-239.81460246996417,-122.21491546440954,-98.86573044396948,-10.260597165805752,-132.8714079665143,-146.4595417554955,-122.14302829091105
12,350,-237.8232693645992,-112.68418157333237,-96.1379773293225,-8.345495734881354,-137.7100556821475,-139.7641719606612,-110.44119322286424
13,50,-270.68888149329615,-141.11175624943616,-97.30865467199558,-8.345495734881354,-165.4333672227401,-163.68989982720265,-131.8495490853817
14,300,-271.5445259483736,-128.49361399092825,-88.73322173513624,-10.471518479967422,-148.9970450940434,-150.21236624982058,-125.6696649160132
15,225,-290.2950433132008,-138.83862715147328,-100.21145215336111,-10.471518479967422,-158.61305522363287,-162.3807748826325,-139.52021345567397
16,250,-306.9629944043752,-144.31975042192457,-105.11657083196069,-13.986457781390808,-168.82580746617302,-166.81373875486594,-143.65414257357273
17,150,-327.34588527017513,-159.72220083429613,-112.76162028238139,-13.986457781390808,-183.95572077000878,-186.16633687591593,-154.8622143223157
18,600,-311.8944207989753,-143.67352824389792,-120.64375721950137,-5.107929889448274,-170.03193244618876,-174.7084720456775,-133.58209016336374
19,150,-325.46861421841294,-155.56848917915318,-123.98944177120313,-5.107929889448274,-182.48660425345656,-184.2127083025715,-146.80207984894614
20,325,-322.81249044610985,-144.44462623057785,-125.68976587325835,-1.703776965929644,-167.212623402552,-181.1594709551228,-138.22905473683957
21,350,-331.1394668968872,-138.55391259874415,-124.90645948278205,-4.581071355989244,-161.41384007394487,-176.89066136144646,-141.39377040830715
22,200,-352.9648353197539,-153.23278971096107,-130.37081215022377,-4.581071355989244,-178.8887916717839,-190.723634155913,-156.19910235454003
23,550,-357.4031878342823,-145.2324109106456,-131.5474456018192,-1.4301861443725872,-180.89089401196108,-182.24893762206946,-147.98681153148632
24,225,-375.031780949181,-156.61018121880525,-136.45602541439854,-1.4301861443725872,-195.46084917130074,-186.42483037600815,-165.1141375932356
25,300,-359.74702932892,-136.13521602911536,-138.8494905712281,-2.513608054774539,-174.83478842835817,-168.78649961483515,-155.40683297305966
26,275,-354.28498454715617,-125.63273935935153,-146.0112704349518,-4.843336895508788,-161.4921650343522,-164.58668789090024,-148.19891842678555
27,250,-354.3216259508338,-115.76236015497611,-145.98245746214502,-10.50303551633317,-153.88676545523754,-153.7832527742711,-146.70015943585017
28,175,-380.00785539154606,-128.93179982277948,-150.9209395475533,-10.50303551633317,-170.0088353990551,-167.63857904449355,-159.76299141639652
29,225,-406.4364487079947,-140.6791998393542,-155.31383147275199,-10.50303551633317,-189.08146688264483,-179.54352788300616,-169.31017090783797
30,550,-392.14270756447445,-124.0191740277108,-160.463364784336,-2.8176266469539053,-181.0482436007773,-159.48695043442936,-147.7251492757358
31,225,-402.180963469693,-133.3933246249061,-160.97614043259895,-2.8176266469539053,-191.66778156575896,-167.84327673507815,-156.6666691983356
32,50,-423.059500850866,-149.72922461302124,-160.7343232086192,-2.8176266469539053,-208.6135415311113,-180.34807472841484,-171.98633081665443
33,175,-433.3958092838337,-144.4720187733162,-158.80988181295373,-8.966008013430336,-197.32689271582467,-181.6570714818329,-176.38472236981576
34,50,-455.56031831593896,-163.19750024147558,-157.71694249774947,-8.966008013430336,-215.81616542634353,-197.23954670986484,-192.86219682050515
35,275,-438.5270783842168,-143.22017310512896,-162.4525580056783,-12.766164470326494,-202.45901810542608,-175.70789166204247,-172.88644227646407
36,225,-461.2580932763832,-157.98980647268877,-168.95388163571957,-12.766164470326494,-213.46497054382493,-191.32341768927088,-194.55370063020737
37,275,-449.3391013055363,-138.55554852119656,-158.9177579018119,-16.455147961546643,-195.81552690618477,-175.91874708598567,-177.9914264211901
38,100,-457.00093937448014,-143.51882345938162,-155.09794137965156,-16.455147961546643,-201.65581803389165,-178.65303392582445,-189.52928939481927
39,200,-458.23981866313835,-140.30671255306706,-164.58889104150205,-16.455147961546643,-195.57948797386277,-179.7472643300367,-190.5569322777235
40,300,-467.7422510158697,-133.0636941951808,-164.43504399521981,-22.651118954564435,-191.09341288543797,-176.37276247857147,-187.92720315603646
41,225,-450.9945128582795,-114.60554888924781,-160.75113527142975,-22.651118954564435,-167.2708884932261,-159.90857933458742,-177.04466306750666
42,300,-449.26501777873756,-99.30183925112841,-149.36725252062575,-26.021742259651976,-156.98836190194461,-150.64444181209691,-168.3293971607726
43,200,-463.44035323618147,-111.17508031910722,-149.98449054331005,-26.021742259651976,-168.20845951445125,-157.72062208327753,-187.17824459613803
44,300,-466.85091459096043,-105.72423356153121,-152.26686556996682,-24.59853818645062,-161.3014809922493,-161.78646654492877,-174.92487409014964
45,275,-454.4737633485456,-93.90216659227904,-149.93268435289846,-21.583916767442055,-154.12548449973633,-150.5160434564001,-155.52790587903849
46,225,-477.30898545666014,-97.83803755263574,-150.64935346838016,-27.282984546841913,-155.39582162197866,-162.05076119955845,-161.02615435126452
47,275,-483.99398891838473,-91.62404164655229,-150.6278985642082,-31.686154545886463,-145.19696853329867,-162.00633274039583,-162.75693856609092
48,275,-504.3826603825798,-100.12978478756213,-160.3549030177035,-31.686154545886463,-164.0559948749929,-165.47795008278234,-169.6645219908478
49,200,-513.3728240407025,-103.28406043580347,-164.726006254017,-31.686154545886463,-165.48435138439012,-172.59845316325973,-174.02119541209407
50,625,-472.3343753063903,-75.43661754135556,-164.1212426367389,-26.470185714019696,-139.7999104440616,-142.94596082172382,-132.2899680247706
51,250,-482.3081588931329,-81.64709551260286,-164.50207577749748,-26.470185714019696,-141.80361933854462,-151.09379954292126,-142.6138023354795
52,525,-490.61225112046577,-81.26516744799585,-173.05528316448766,-20.364347128492454,-142.39993466644566,-157.0274450642606,-141.13117697996262
53,300,-487.83500775109604,-71.57219387395949,-180.55476099793097,-22.51543126954379,-134.63017018595477,-149.10683152764938,-135.81291286481604
54,250,-481.9894570009003,-73.98137153374327,-175.44713345123634,-22.51543126954379,-132.47844281912705,-159.6332319533363,-144.6752232054827
55,175,-484.88923279556707,-69.14496961762525,-178.34991680689512,-25.421522581731736,-133.34979468420596,-150.7940085723508,-145.8038675249203
56,275,-502.91282541958213,-78.35283411649343,-182.1388818845895,-30.2297029627286,-147.64300598024707,-164.09742935673697,-149.62526135182762
57,600,-514.8935004686028,-78.26099332475094,-189.25839958204824,-21.305336739363014,-158.06234743635673,-173.63798807302916,-137.8999667903299
58,575,-510.0785999108094,-69.01290658375356,-195.2518128568299,-13.84999714914209,-155.4087454488201,-164.24413364596435,-123.58354121861053
59,300,-511.87105541258046,-62.34722913007156,-193.48361705362575,-17.720898248374223,-152.6390582875693,-157.30885126604576,-119.37706949809602
60,350,-532.7739017205914,-62.69527540059747,-209.95752918420382,-20.15931225642357,-156.65515319470651,-160.39810339282033,-128.73618977467135
61,250,-533.0314726973463,-53.040631800735504,-202.08045946400892,-22.015238329252387,-146.60322662178876,-155.8030799920689,-122.19849615045491
62,250,-528.5508037553487,-55.93376745600696,-201.4281853983108,-22.015238329252387,-142.24314831378894,-158.16511584090426,-130.8925580664994
63,600,-528.5711525671518,-51.09158310850867,-211.2240031203367,-18.427759203686,-146.829666751871,-157.02116895278192,-118.31251725611426
64,575,-512.6726359665049,-41.72643694509962,-212.81668445816337,-11.388945346734399,-141.5811550973491,-146.76249739708413,-106.89531439858368
65,275,-532.6847536069536,-43.255824888494544,-206.74700854352935,-14.927361446328609,-147.03453109035615,-162.71103684906865,-108.36489275961956
66,200,-552.8629712345053,-50.16291663553198,-201.6686125871424,-17.659689955455637,-150.02371159624704,-177.30724540871947,-116.66061019305081
67,225,-569.03292530766,-61.23407771247422,-204.31411617581693,-17.659689955455637,-163.24225495284276,-185.1446893561732,-131.18664068141572
68,275,-551.0871483962311,-46.5302853799285,-199.25894242871638,-19.910846196269084,-151.62649971420524,-165.59211372357902,-116.23746958072066
69,300,-536.1853965359236,-35.42043191719753,-183.96864632590064,-20.063671855943532,-136.67771916482332,-157.1113765403156,-111.9141088078885
70,25,-572.5512720301216,-71.18036981814829,-189.35797787368983,-20.063671855943532,-169.15805993977727,-188.98814176694785,-133.92626874004563
71,350,-553.7922152220312,-55.52967955970912,-182.84030986832255,-22.89262085777486,-155.3861146595043,-170.0782035442467,-121.26976102867346
72,325,-565.2661343158669,-56.005456244680744,-186.50118254614048,-27.42874668805637,-160.60257535170868,-179.51592004107277,-123.23767543206944
73,250,-574.7326298800199,-55.74908159509639,-187.23570211165293,-30.28043705189332,-164.27433414993882,-194.2526616569828,-121.61111562458701
74,200,-581.6556500404799,-60.048167186179015,-181.12379616258585,-30.28043705189332,-171.50439767368906,-197.81651444501014,-127.26116746788968
75,575,-567.5926837283298,-47.282507382833046,-189.54202025747142,-25.031579491068907,-162.17898611768044,-189.01127331730953,-105.11813002392579
76,350,-574.6347730145205,-41.82846239358955,-205.7190609622742,-25.395049664354286,-161.27082736051176,-183.7499828565651,-103.94089675908143
77,175,-603.3507703089358,-60.504114770888144,-211.3456875488853,-25.395049664354286,-183.44881783281602,-198.56656124870386,-120.21806216991472
78,150,-600.679037218445,-51.80781213968057,-205.62754360572666,-25.395049664354286,-172.1712613031418,-193.46578297503928,-120.80218822937883
79,225,-614.518556119618,-58.01302768536489,-208.18414319843419,-25.395049664354286,-182.8652445633049,-197.36722091189125,-128.00076332555648
80,175,-630.9672883368762,-68.66748975828116,-210.29015257716648,-25.395049664354286,-194.75974730715953,-207.6561532357914,-138.50804013447902
81,200,-617.5376072266705,-51.57604574053083,-205.9349985772758,-25.395049664354286,-177.9468551914646,-191.36604538829047,-131.11394070455427
82,275,-624.5104531799046,-43.17405269346228,-203.14223511911018,-25.395049664354286,-173.75986461421158,-186.19423446664157,-131.0265068945688
83,175,-622.8206766966679,-42.40357467246827,-194.3444239766797,-25.395049664354286,-169.0538168172063,-187.1501917420677,-139.6889917214987
84,225,-638.9190500701537,-52.57192682021084,-199.3462721022294,-25.395049664354286,-179.47942668393873,-197.98620819529503,-151.1074635086614
85,200,-659.3651230557027,-51.044347984458234,-198.76813227920286,-25.395049664354286,-184.6986981901278,-198.38244961848548,-155.79668703830836
86,225,-669.7400588522295,-57.719110722868905,-205.00254824889612,-25.395049664354286,-192.97769931049783,-203.4878138670823,-163.06722481962382
87,250,-674.4532314944261,-50.40309639738543,-208.7196896999547,-30.815388604150204,-190.36821460605896,-201.85118622997382,-159.2873156248735
88,200,-692.7533310755508,-63.88510299946445,-211.57055263094452,-30.815388604150204,-203.78683711497374,-215.82437153509133,-172.32613264408317
89,175,-689.5040629267351,-63.69968293492131,-203.99388278676884,-30.815388604150204,-198.2404114956605,-216.26150651604055,-179.27479284322803
90,250,-695.2400089390967,-64.96197874823535,-205.30875512470732,-30.815388604150204,-202.38978299287663,-216.68314679862223,-181.27937123612867
91,225,-702.3327754712008,-70.73148546472649,-207.18645865022577,-30.815388604150204,-210.73483508263345,-221.10959666782566,-188.11021444984456
92,125,-713.0689631730393,-74.19104810105193,-201.36110901268702,-30.815388604150204,-212.753327949257,-225.25336018381918,-196.6178319643116
93,50,-728.6325708212577,-85.79846562936193,-200.16394406254042,-30.815388604150204,-225.13375025943836,-233.68555007962055,-209.2784157524945
94,625,-715.4028048336567,-70.6797270811366,-200.6268503958241,-22.82843427427101,-211.7648018230963,-221.2306267434337,-188.85355023355837
95,625,-691.1031370505608,-49.15246815142294,-196.17245020347082,-16.14432665033634,-192.7286491313779,-197.5142962613518,-156.0197844250773
96,275,-688.5109364384665,-38.97659919608478,-189.64024546304114,-17.915316279896242,-183.90746410777405,-192.75787098101387,-148.6418279516613
97,225,-698.6775224466493,-37.830431500631946,-191.93512354568082,-24.30754725840884,-183.10089921907658,-198.55235079233995,-148.18335864942085
98,250,-709.7822595587944,-41.31408947904491,-199.57792200897342,-26.313495592318397,-195.44015020370654,-203.48674826917824,-145.82696318057603
99,200,-727.9277433378521,-55.56552668441629,-200.97450199577196,-26.313495592318397,-207.89376543402665,-218.23039087886815,-159.09492574641953
100,600,-717.3248477126535,-33.21482500553108,-206.65356228351328,-21.49179309329368,-191.46578971471254,-195.82013970517633,-139.70918514712838
101,250,-713.2203210453712,-18.097412319214968,-193.18405944819844,-23.90966773224441,-174.39483859185557,-185.7666253528619,-131.719168554086
102,175,-738.5453200979048,-29.178898716343898,-188.4374865820355,-23.90966773224441,-182.83800805712661,-203.8716285109244,-147.10398606667053
103,250,-741.6410136631151,-23.468224559672716,-181.46322710959865,-24.857335333225304,-179.03453224771022,-198.07546105421525,-140.73673416037735
104,125,-756.4816796049997,-32.63084913429877,-180.11508412535315,-24.857335333225304,-189.52564604121764,-203.8238365663665,-153.01823437130273
105,175,-786.0642930894255,-50.96248682784418,-183.45534748005116,-24.857335333225304,-212.37817539328088,-219.62390813413197,-166.93834416249067
106,250,-795.4961578677667,-56.38934109997901,-187.19484691675476,-24.857335333225304,-219.49377112169682,-223.84668561657082,-173.96240770903196
107,625,-749.8641733759401,-29.38567240325354,-180.0009423987825,-17.23358835550612,-190.05660215743362,-199.49211298301486,-131.4791806070908
108,525,-751.739694276293,-29.256733775270582,-183.20351356319946,-9.720739850426694,-202.22483870519665,-197.58716996601632,-118.80640467241176
109,75,-777.3754179157361,-49.06525247052618,-187.19456845184823,-9.720739850426694,-221.03714411245798,-215.84749956377996,-137.8539915555516
110,575,-741.5760834181422,-25.18137922267151,-185.39345083042127,-2.5507280860591885,-196.91484346512567,-193.87251662240644,-97.53370555439514
111,275,-743.7486243950602,-25.259550024818342,-185.41168162743128,-2.5507280860591885,-203.42775203078975,-188.29840053472867,-99.26254818332251
112,250,-758.0606507759729,-32.53061212776747,-183.06249859414146,-2.5507280860591885,-215.11480115347834,-195.3066751756509,-108.66129734763419
113,175,-748.6189721517641,-30.490309786222056,-172.30798557425854,-2.5507280860591885,-212.10819064245644,-187.9798372249257,-114.38976353440476
114,275,-752.082752380727,-31.388557536166072,-173.83774838237323,-2.5507280860591885,-209.19387684918192,-194.46999595441272,-117.27014771446956
115,350,-739.69747814606,-20.33372010931781,-172.16372196350216,0.29638571990179585,-178.4586793533065,-180.5761550500427,-89.5187242451355
116,300,-737.2750132699268,-22.991609507107363,-164.5620116346683,0.29638571990179585,-183.0433816776339,-179.38866406731515,-93.12526540794333
117,250,-751.8503239745529,-24.811137363203873,-171.04768693329,-2.397035677469363,-190.6765827852725,-186.42048953871887,-93.30881538114697
118,325,-743.7504380854485,-12.41926762063498,-173.7843988363849,1.3463537002251829,-176.0285572977189,-175.15595460789112,-83.01982329834938
119,375,-747.94880465532,-6.491712034867655,-177.96957413992993,-1.20177777215648,-177.99237724511386,-157.04551005203245,-73.93306358248482
120,525,-722.9250606203987,10.471429903154327,-179.14797080768318,6.417860163322285,-163.90159708384587,-138.26564743821913,-42.17339516399781
121,275,-740.2789424507739,7.835590337794991,-183.1441645906614,-0.17608064261367762,-167.18407456245197,-149.1406318137936,-49.883964069285575
122,600,-741.9043788669815,9.700367764294342,-187.39535777369082,6.856655477702547,-165.94091150118905,-154.69735581128143,-41.99494876657503
123,500,-751.3521345845437,7.601949273118418,-179.55093342668633,9.768100804538381,-169.70480585640854,-161.9087802212598,-37.696677208366545
124,275,-749.9728691104497,15.431255877162977,-192.43538431093938,8.950011775989466,-162.8954832719823,-158.02436337368087,-33.88071960309787
125,600,-752.6493378256711,23.520530925640294,-192.0762068630311,16.507664970349992,-165.13438919828138,-149.5648765846853,-24.095810784130016
126,650,-750.0097971630302,30.845253825192543,-190.2746938668443,23.751735943863498,-156.30537082091647,-143.55929650578574,-24.06236356637448
127,725,-737.4971985927715,44.3091362040234,-187.17481905707973,29.559325398615808,-150.47824093628074,-128.53993023796144,-5.057364548594839
128,200,-757.243967920098,27.00726579942671,-188.1332079094078,29.559325398615808,-166.10778214754825,-146.64575570469694,-19.978384069151915
129,600,-762.6072495170479,34.791190399754484,-190.85497268111754,29.559325398615808,-160.54203149132908,-146.05861758936874,-22.566533954483305
130,250,-789.5082690466154,13.246387654045837,-190.52518816355186,29.559325398615808,-180.1146456688168,-167.65943131178008,-46.12358408062008
131,225,-825.4385751427338,-13.156251091058895,-200.05413852799742,29.559325398615808,-208.97865309987338,-191.47190565611567,-67.8263946842167
132,150,-843.7122009369275,-29.62730180029748,-201.4972336418376,29.559325398615808,-220.31591732900944,-202.44152019880698,-86.3420032276872
133,500,-819.2136290270862,-0.017626924769442276,-189.92038670761696,29.559325398615808,-194.09504895866638,-172.41439232589502,-64.1347335012918
134,625,-822.3590780788445,8.58726801062433,-199.61648406089103,32.83673337403222,-195.39510916607313,-168.7566262564634,-54.93489674317051
135,175,-851.1733222900714,-10.267669959586705,-206.9195903577257,26.23653697847955,-211.98387911597695,-191.98425374342278,-71.55462183782623
136,200,-857.8066842577344,-18.249435733124646,-206.48684261564034,26.23653697847955,-217.68263133937185,-199.24216853010498,-78.50255568235806
137,275,-857.8255162350475,-23.884142108311924,-205.4999652994848,26.23653697847955,-222.90189114916822,-201.84671797210868,-83.60704232203214
138,225,-869.1764600449312,-27.600315728959842,-207.1938499264057,26.23653697847955,-223.9128410674884,-207.5057421418082,-91.70032365849944
139,625,-830.2269150502523,-1.1322112906511932,-216.81407224873385,35.112745794082635,-192.19508026245208,-183.12196210186056,-54.370354599083875
140,175,-847.4969952248268,-3.7031750562661543,-209.64558085759165,31.6449725667256,-191.29257627323022,-190.03424968191462,-60.01721251953883
141,275,-862.6152920930012,-13.121178972030428,-210.28846976045048,31.6449725667256,-198.66563319792112,-195.90293383102602,-76.20972581605808
142,350,-847.0475161348577,5.9676760670628255,-206.73042282871552,33.97003269462452,-181.5803583154852,-183.93201262611782,-52.393855182019024
143,350,-852.6276813804367,12.289089137450413,-214.06350956762114,33.11530992756463,-180.33760102860955,-183.80816650628947,-47.2120698322081
144,175,-872.9996556672138,-2.4110390738473497,-217.14407040556304,33.11530992756463,-193.7228878168089,-199.23578300894786,-64.56576108203257
145,575,-846.3749368021731,16.964512175236305,-209.80022773322187,40.02774985194472,-169.6588094932924,-181.9411450922865,-48.15065728396445
146,275,-867.8840755679721,3.7580333942160142,-210.8800958887757,40.02774985194472,-185.26089944335047,-196.23319357730085,-63.41642798322007
147,250,-869.5675550983213,0.47556893883704676,-211.50913365598154,40.02774985194472,-187.76075140922617,-196.69686885873762,-72.03626715869243
148,350,-862.2049802920831,9.685634020881636,-203.8790015170888,37.507833845212275,-186.33045225984498,-181.24672572628677,-61.38230167255459
149,350,-854.8024757336476,24.324981017445438,-209.4675757797231,34.343259192037635,-175.05505297706847,-163.38800879094887,-51.35147466212812
150,575,-851.1275087829916,33.999062532132385,-220.26292388586816,42.196203674752276,-176.2818542977329,-153.83025332085558,-38.56704737363486
151,225,-856.0956363020628,37.58987730285591,-221.92625508577942,36.27520280341614,-176.4612491547661,-151.21545470593512,-40.44144726177934
152,575,-854.811961477717,49.93248194707688,-217.798500309934,36.27520280341614,-163.20763187997196,-146.0168768616942,-36.269012717722944
153,300,-864.4589727840322,46.2602867415071,-211.6595786462995,39.82149268732041,-153.49482951433976,-120.77296062392087,-29.73026503198832
154,475,-853.5745893376605,53.576652188349705,-204.4988470488722,47.82719649186409,-149.15673297953566,-114.71440285858493,-21.727581637213518
155,50,-891.5047192305856,22.174061321270035,-207.24042369883048,47.82719649186409,-180.70512409529445,-140.14559070255305,-45.50769814624883
156,300,-907.1825713479121,22.280133915512177,-217.65518987514912,43.323446844739664,-192.02961110868816,-136.90559427038428,-51.5863645902422
157,400,-920.0923994580082,23.974005933341807,-219.48311537615487,43.99660814423848,-182.1970800370541,-146.96136052217025,-50.0804383498787
158,475,-922.2320654228746,35.777503345355456,-219.67084973129639,46.884590194815566,-170.46408988829725,-138.1908961021055,-45.9515359609326
159,150,-942.5219398377732,17.094366892849695,-221.14248835314714,46.884590194815566,-184.49810017682162,-159.05247347500318,-61.079609304733
160,375,-943.4662622487162,26.649801983822627,-225.93795836836838,51.967932952347745,-179.54100971181597,-164.41538067048594,-49.46562318819387
161,250,-968.0639924008569,18.816340912024796,-227.23230715002373,44.81622669001628,-194.9316139978893,-174.74014193612683,-58.235757382258576
162,350,-978.076075413794,20.13635334301973,-230.69898827372785,40.29199041304525,-207.61967784717555,-174.26304087231654,-58.384199957986915
163,325,-970.4488133458278,29.442383371411058,-232.49902223796073,34.24531440799787,-187.39220952184246,-170.31981323822143,-54.12580718318087
164,275,-978.2349127469847,27.949698339246357,-241.49877233591207,31.680462696085748,-195.9240744681992,-172.22505339087985,-54.61625650453825
165,725,-969.9534880312681,48.84166386801351,-226.183572247671,37.203015321993206,-182.89566986320926,-150.8895323067244,-35.53668844275743
166,600,-981.7067489906876,52.74071826929348,-235.5953098539199,45.33822174508026,-187.3321372960799,-153.4869463390931,-33.21402833717477
167,550,-983.7796277969944,66.09010526379704,-242.536220730499,45.33822174508026,-181.88837766855573,-138.91718713341263,-25.389273446641358
168,325,-972.9329282152654,74.68624567015594,-226.45719699041894,42.258007030115664,-165.8877814155871,-133.68850837910372,-16.638248246117097
169,200,-1002.5794854808368,50.38296636686789,-229.1049492098307,42.258007030115664,-191.22457866123437,-159.0782636367492,-36.52291302379521
170,300,-1003.09590018861,58.06452534864111,-224.09510042598123,36.15207422863551,-183.86243425928205,-151.64389229161063,-39.82726213084942
171,400,-1014.9047464237032,63.72904086464118,-219.10899709260838,40.74967301993773,-181.66449015231103,-141.81946615394492,-34.88483091414223
172,225,-1026.6330962789266,58.57471269738927,-213.0113337768031,37.350822467768864,-181.7352420568547,-154.61887881684905,-34.30820912595294
173,325,-1013.6964939908765,71.09088424055399,-205.72490391374663,31.998331782712658,-166.8306943118413,-140.9596696209479,-21.68702755393277
174,275,-1040.6179251307808,62.474501253817074,-209.65941609418473,24.871400188143255,-178.77806019553935,-157.21038345517084,-35.06567766457048
175,250,-1042.4660229911135,67.9457701452906,-213.6650812837458,17.688553977276356,-168.980964420598,-157.10124427886024,-34.106733647121615
176,150,-1072.6553438859494,46.54928266591355,-217.4954518785099,17.688553977276356,-187.6435408979396,-180.79456554034712,-56.88581254340768
177,350,-1073.1724609595115,55.22435356647405,-230.41208473625457,20.57925087368473,-177.858157585614,-179.37641871592314,-49.65927357331135
178,250,-1080.3881486557705,56.68843680926218,-232.48519933940747,20.57925087368473,-166.86677243050266,-180.56532675735014,-51.8155133900807
179,400,-1091.11909925919,67.57402643068593,-227.45805733031403,24.170981728581154,-156.94804640843267,-176.4666320305132,-45.57138394792708
180,350,-1106.895192056418,63.11661650577934,-227.49423012983374,22.8698085514692,-169.71461561351222,-181.53477338898904,-54.23486295450977
181,300,-1121.7291754447263,63.94429446114228,-231.82597004751196,19.418711966480902,-169.3378196808679,-185.9142019554955,-61.505092497388134
182,175,-1147.6608556883114,39.96506681720773,-235.22753202998535,19.418711966480902,-195.82477839004605,-209.00762270254208,-78.57229446824998
183,325,-1167.458583188366,35.65819616614354,-237.23424633960673,12.193273303335236,-186.65419121748025,-215.7935217235866,-87.9791796150628
184,300,-1168.3653655415906,31.652669883908995,-241.76249206424163,12.193273303335236,-184.80533882449427,-222.99295819989175,-94.92554171834458
185,50,-1203.3906108393371,5.2300799417377455,-241.83637449652022,12.193273303335236,-212.9106158495479,-242.98616012895042,-117.74200519092763
186,50,-1227.647374410626,-15.328385687505778,-240.89805547998557,12.193273303335236,-233.17678973604174,-260.11089434656,-135.56862242776498
187,525,-1216.2654368394992,-3.3399444083438925,-241.06082462581892,19.88175783387277,-231.67146356616442,-249.10308294124033,-115.4238789474251
188,150,-1228.2320515475258,-15.30220050098421,-239.5526433288658,19.88175783387277,-244.51596005803214,-257.2221637610444,-122.99762233084533
189,550,-1204.44957056482,7.80810704457026,-251.72995933449195,26.28395465488534,-224.51267486107523,-233.39586726615892,-98.24685502631034
190,50,-1226.1854314604989,-9.180202954352943,-251.27857936964995,26.28395465488534,-242.13811044483032,-246.35512582464082,-114.50406034947865
191,750,-1163.316182444338,24.377694561975897,-244.6380111153633,33.49284305798352,-215.97850656900485,-193.3776400784482,-63.55268195107596
192,150,-1157.2041964417344,25.370451332559824,-232.414877968738,33.49284305798352,-214.75192401290084,-187.53028787418143,-73.0140568052483
193,250,-1190.9126755312886,13.699942657463106,-236.2517544471077,33.477015858026,-204.89320188959354,-211.81544257826616,-85.57357199215322
194,275,-1179.3615116379392,17.741225598666983,-229.09373701392636,33.477015858026,-194.58695264717176,-215.59099090293395,-84.04792268228213
195,700,-1169.4356420973058,28.445088554671017,-230.94007813476176,37.652903516514606,-193.3935931913782,-211.28747867915197,-64.88004386209295
196,425,-1175.7430679995034,44.44670754668651,-227.64187894722488,42.936059007461154,-179.45459427141353,-197.5868220481355,-46.86217425577568
197,250,-1157.3040134347968,63.832493345477964,-208.60125242528264,41.066160291248,-163.13574487806108,-175.27036763928572,-33.90138260960689
198,250,-1167.0069798902182,64.2508690380903,-210.37837175818896,43.504606430013325,-170.5966124424426,-176.34641737469136,-26.592545244749324
199,150,-1198.7279822405874,36.764651247373905,-210.64662367884299,43.504606430013325,-196.99166040217006,-202.07935104803104,-49.08277948398324
200,300,-1211.335427039012,32.854407568644476,-204.33137232933876,37.84809965008437,-196.4118326137748,-211.70859961819096,-53.338098081018586
201,200,-1204.8512630872358,45.741211433471456,-192.44276414566386,35.37074103324493,-183.94407474416803,-199.82582904963795,-46.068715048157
